발생시간,발생지역,검토상태,쓰나미여부,영향도,데이터유형,규모,지역,경도,위도,진원깊이,발생일시,cluster,c,cluster_4
1647233016685,"192 km S of Pagar Alam, Indonesia",reviewed,0,298,earthquake,4.4, Indonesia,102.9998,-5.7497,32.64,2022-03-14 04:43:36.685000+00:00,2,green,2
1682809690221,Nevada,reviewed,0,158,earthquake,3.2,Nevada,-114.9948,37.2583,8.9,2023-04-29 23:08:10.221000+00:00,1,blue,1
1675928528070,"9 km ESE of Göksun, Turkey",reviewed,0,284,earthquake,4.3, Turkey,36.5954,37.995,6.994,2023-02-09 07:42:08.070000+00:00,0,pink,3
1645729192344,"191 km SW of Kalemie, Democratic Republic of the Congo",reviewed,0,312,earthquake,4.5, Democratic Republic of the Congo,28.1712,-7.3408,10.0,2022-02-24 18:59:52.344000+00:00,0,pink,3
1643086816968,northern Mid-Atlantic Ridge,reviewed,0,432,earthquake,5.3,northern Mid-Atlantic Ridge,-44.3165,27.161,10.0,2022-01-25 05:00:16.968000+00:00,0,red,0
1683241385135,"Pulau Pulau Tanimbar, Indonesia",reviewed,0,298,earthquake,4.4, Indonesia,130.3974,-8.0478,10.0,2023-05-04 23:03:05.135000+00:00,0,pink,3
1631343945004,"68 km S of Baise City, China",reviewed,0,326,earthquake,4.6, China,106.7131,23.292,10.0,2021-09-11 07:05:45.004000+00:00,0,pink,3
1684102226554,"158 km N of Tobelo, Indonesia",reviewed,0,298,earthquake,4.4, Indonesia,128.2735,3.1371,67.142,2023-05-14 22:10:26.554000+00:00,2,green,2
1662409808939,southern Mid-Atlantic Ridge,reviewed,0,271,earthquake,4.2,southern Mid-Atlantic Ridge,-11.9774,-20.336,10.0,2022-09-05 20:30:08.939000+00:00,0,pink,3
1611698095284,"2 km WNW of Atarfe, Spain",reviewed,0,297,earthquake,4.3, Spain,-3.7155,37.2371,10.0,2021-01-26 21:54:55.284000+00:00,0,pink,3
1671376706801,"45 km SSE of Nishinoomote, Japan",reviewed,0,298,earthquake,4.4, Japan,131.1199,30.3387,35.0,2022-12-18 15:18:26.801000+00:00,2,green,2
1663690686449,"165 km NW of Ambon, Indonesia",reviewed,0,284,earthquake,4.3, Indonesia,126.9591,-2.8492,35.0,2022-09-20 16:18:06.449000+00:00,2,green,2
1661788955556,"17 km NNE of Ta`?, American Samoa",reviewed,0,148,earthquake,3.1, American Samoa,-169.4738,-14.0831,10.687,2022-08-29 16:02:35.556000+00:00,1,blue,1
